Country,Rank,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Age Below 30 Score,Age Above 60 Score,Age 30-44 Score,Age 45-59 Score
Canada,15,6.9,6.984,6.815,1.84,1.459,0.701,0.73,0.23,0.368,1.572,6.439,7.343,6.90154121,6.91645879
Belgium,16,6.894,6.961,6.827,1.868,1.44,0.69,0.729,0.17,0.311,1.686,6.947,6.842,6.893944865,6.893055135
Ireland,17,6.838,6.927,6.749,2.129,1.39,0.7,0.758,0.205,0.418,1.239,6.954,6.932,6.828399871,6.817600129
Czechia,18,6.822,6.903,6.741,1.783,1.511,0.638,0.787,0.177,0.068,1.858,7.198,6.591,6.743816421,6.755183579
Lithuania,19,6.818,6.896,6.739,1.766,1.454,0.598,0.533,0.044,0.116,2.307,7.759,5.965,6.77645781,6.77154219
United Kingdom,20,6.749,6.833,6.665,1.822,1.326,0.672,0.713,0.267,0.351,1.598,6.754,6.812,6.706706949,6.723293051
Slovenia,21,6.743,6.843,6.643,1.786,1.502,0.695,0.789,0.157,0.131,1.683,7.111,6.31,6.766533634,6.784466366
United Arab Emirates,22,6.733,6.823,6.643,1.983,1.164,0.563,0.815,0.209,0.258,1.741,6.732,7.248,6.476627093,6.475372907
United States,23,6.725,6.818,6.631,1.939,1.392,0.542,0.586,0.223,0.169,1.873,6.392,7.258,6.625812702,6.624187298
Germany,24,6.719,6.815,6.622,1.871,1.39,0.702,0.7,0.174,0.368,1.513,6.578,6.734,6.784748598,6.779251402
Mexico,25,6.678,6.781,6.575,1.521,1.241,0.544,0.722,0.086,0.127,2.437,6.954,6.287,6.740021827,6.730978173
Uruguay,26,6.611,6.696,6.527,1.596,1.431,0.592,0.775,0.106,0.22,1.891,6.775,6.561,6.563517042,6.544482958
France,27,6.609,6.685,6.533,1.818,1.348,0.727,0.65,0.112,0.281,1.672,6.561,6.524,6.675826007,6.675173993
Saudi Arabia,28,6.594,6.707,6.48,1.842,1.361,0.511,0.787,0.114,0.188,1.79,6.617,6.431,6.660459129,6.667540871
Kosovo,29,6.561,6.667,6.455,1.364,1.277,0.599,0.739,0.254,0.073,2.255,6.949,6.096,6.605403724,6.593596276
Singapore,30,6.523,6.605,6.44,2.118,1.361,0.769,0.743,0.168,0.575,0.788,6.484,6.477,6.560916645,6.570083355
Taiwan Province of China,31,6.503,6.597,6.41,1.842,1.346,0.65,0.649,0.068,0.202,1.747,6.908,6.284,6.408779428,6.411220572
Romania,32,6.491,6.592,6.39,1.699,1.236,0.583,0.717,0.041,0.006,2.21,7.284,5.902,6.380569128,6.397430872
El Salvador,33,6.469,6.599,6.338,1.265,1.08,0.549,0.816,0.083,0.253,2.424,7.057,5.716,6.542007015,6.560992985
Estonia,34,6.448,6.524,6.371,1.752,1.527,0.657,0.805,0.166,0.401,1.138,6.599,6.164,6.523752968,6.505247032
Poland,35,6.442,6.513,6.37,1.738,1.417,0.639,0.6,0.081,0.175,1.791,6.605,6.051,6.562719602,6.549280398
Spain,36,6.421,6.502,6.339,1.766,1.471,0.729,0.619,0.119,0.177,1.54,6.463,6.363,6.432919484,6.425080516
Serbia,37,6.411,6.522,6.3,1.538,1.391,0.585,0.663,0.2,0.101,1.932,7.658,5.696,6.153179059,6.156820941
Chile,38,6.36,6.448,6.273,1.616,1.369,0.673,0.651,0.117,0.075,1.858,6.662,5.946,6.409465886,6.422534114
Panama,39,6.358,6.489,6.227,1.702,1.392,0.633,0.72,0.063,0.043,1.806,6.883,5.687,6.424128741,6.437871259
Malta,40,6.346,6.43,6.261,1.827,1.444,0.707,0.727,0.25,0.125,1.267,6.452,6.353,6.284504858,6.294495142
Italy,41,6.324,6.436,6.211,1.8,1.328,0.72,0.513,0.112,0.074,1.777,6.618,6.119,6.280484533,6.278515467
Guatemala,42,6.287,6.457,6.117,1.26,1.169,0.467,0.735,0.105,0.078,2.473,6.548,5.887,6.360791918,6.352208082
Nicaragua,43,6.284,6.433,6.135,1.097,1.263,0.542,0.793,0.133,0.251,2.203,6.789,5.904,6.224703948,6.218296052
Brazil,44,6.272,6.39,6.154,1.43,1.269,0.548,0.685,0.13,0.142,2.068,6.436,6.124,6.259598678,6.268401322
Slovakia,45,6.257,6.332,6.182,1.706,1.54,0.638,0.566,0.096,0.058,1.653,6.674,5.641,6.365597306,6.347402694
Latvia,46,6.234,6.314,6.155,1.7,1.508,0.564,0.666,0.127,0.078,1.59,6.766,5.811,6.202257938,6.192742062
Uzbekistan,47,6.195,6.303,6.087,1.212,1.394,0.539,0.835,0.251,0.215,1.749,6.283,6.633,5.933087081,5.930912919
Argentina,48,6.188,6.306,6.07,1.562,1.381,0.585,0.681,0.087,0.08,1.812,6.746,5.948,6.031234415,6.026765585
Kazakhstan,49,6.188,6.278,6.097,1.622,1.457,0.556,0.733,0.149,0.12,1.551,6.324,6,6.212392001,6.215607999
Cyprus,50,6.068,6.182,5.954,1.794,1.217,0.744,0.529,0.124,0.049,1.611,6.525,5.665,6.03595462,6.04604538
Japan,51,6.06,6.144,5.976,1.786,1.354,0.785,0.632,0.023,0.219,1.261,6.232,6.146,5.928119454,5.933880546
South Korea,52,6.058,6.148,5.968,1.815,1.178,0.77,0.555,0.126,0.158,1.456,6.503,5.642,6.048656922,6.038343078
Philippines,53,6.048,6.166,5.929,1.232,1.146,0.441,0.826,0.099,0.136,2.167,6.305,5.976,5.94578787,5.96521213
Vietnam,54,6.043,6.138,5.948,1.331,1.267,0.539,0.843,0.094,0.16,1.81,6.363,5.521,6.136321453,6.151678547
Hungary,55,6.017,6.124,5.91,1.722,1.528,0.596,0.581,0.123,0.067,1.4,6.72,5.474,5.927920053,5.946079947
Paraguay,56,5.977,6.085,5.868,1.398,1.408,0.549,0.788,0.131,0.065,1.637,6.715,5.013,6.080814576,6.099185424
Thailand,57,5.976,6.094,5.858,1.484,1.347,0.62,0.756,0.283,0.024,1.463,6.597,6.001,5.660109212,5.645890788
Malaysia,58,5.975,6.078,5.872,1.646,1.143,0.54,0.829,0.226,0.119,1.473,6.372,5.418,6.059073157,6.050926843
China,59,5.973,6.061,5.885,1.497,1.239,0.629,0.704,0.132,0.164,1.608,5.949,6.359,5.791483477,5.792516523
Honduras,60,5.968,6.114,5.822,1.091,1.035,0.502,0.72,0.175,0.081,2.364,6.462,5.645,5.874456683,5.890543317
Bahrain,61,5.959,6.153,5.766,,,,,,,,6.034,5.64,6.080832318,6.081167682
Croatia,62,5.942,6.047,5.837,1.71,1.445,0.637,0.469,0.064,0.043,1.574,7.116,5.137,5.756969435,5.758030565
Greece,63,5.934,6.027,5.84,1.684,1.276,0.696,0.337,0.018,0.093,1.83,6.502,5.534,5.843464037,5.856535963
Bosnia and Herzegovina,64,5.877,5.979,5.775,1.465,1.318,0.587,0.621,0.246,0,1.64,6.746,5.241,5.759177033,5.761822967
Libya,65,5.866,5.987,5.746,1.526,1.1,0.55,0.592,0.111,0.204,1.785,5.937,5.835,5.843970095,5.848029905
Jamaica,66,5.842,6.059,5.624,1.28,1.324,0.567,0.647,0.089,0.028,1.907,5.826,5.529,6.008817002,6.004182998
Peru,67,5.841,5.946,5.736,1.371,1.18,0.662,0.615,0.078,0.029,1.907,6.362,5.313,5.847201873,5.841798127
Dominican Republic,68,5.823,5.967,5.679,1.517,1.272,0.511,0.73,0.086,0.196,1.512,6.407,5.269,5.79890608,5.81709392
Mauritius,69,5.816,5.927,5.706,1.57,1.358,0.49,0.641,0.123,0.118,1.517,5.819,6.388,5.525992252,5.531007748
Moldova,70,5.816,5.93,5.702,1.385,1.277,0.542,0.695,0.077,0.044,1.795,6.786,4.896,5.793517198,5.788482802
Russia,71,5.785,5.859,5.712,1.642,1.351,0.531,0.551,0.138,0.121,1.451,6.328,5.544,5.634062725,5.633937275
Bolivia,72,5.784,5.895,5.674,1.217,1.179,0.488,0.719,0.1,0.061,2.02,6.157,5.565,5.714129797,5.699870203
Ecuador,73,5.725,5.85,5.599,1.315,1.151,0.64,0.606,0.087,0.078,1.846,6.437,4.927,5.771173873,5.764826127
Kyrgyzstan,74,5.714,5.795,5.632,1.054,1.477,0.588,0.834,0.225,0.03,1.505,5.935,5.687,5.610258689,5.623741311
Montenegro,75,5.707,5.815,5.599,1.571,1.318,0.587,0.632,0.11,0.132,1.357,6.536,4.674,5.800411375,5.817588625
Mongolia,76,5.696,5.783,5.61,1.353,1.511,0.4,0.501,0.237,0.055,1.64,5.758,5.701,5.665348386,5.659651614
Colombia,77,5.695,5.806,5.584,1.437,1.241,0.648,0.644,0.072,0.059,1.596,6.035,5.393,5.666530226,5.685469774
Venezuela,78,5.607,5.725,5.489,0,1.321,0.491,0.518,0.192,0.086,2.998,5.896,5.57,5.482715512,5.479284488
Indonesia,79,5.568,5.67,5.466,1.361,1.184,0.472,0.779,0.399,0.055,1.318,6.089,5.159,5.520804605,5.503195395
